ID,name,type,duration,participants
TE 292,Telecommunication Lab I,LAB_SESSION,4,LEC194 ED2-TEL
PETE 454,Design Project II,LAB_SESSION,4,LEC16 ED4-PETE
PETE 356,Petroleum Eng lab II,LECTURE,4,LEC16 ED3-PETE
MSE 364,Materials Engineering Laboratory II,LAB_SESSION,4,LEC077 ED3-MSE
ME 498,Project II,LAB_SESSION,4,LEC01 ED4-AERO
ME 498,Project II,LAB_SESSION,4,LEC12 ED4-ME
EE 392,Electrical Engineering Lab. II,LECTURE,4,LEC186 ED3-EE
EE 292,Electrical Engineering Lab. II,LAB_SESSION,4,LEC052 ED2-EE
COE 392,Autotronic Lab,LAB_SESSION,4,LEC06 ED3-COE
COE 292,Computer Engineering Lab II,LAB_SESSION,4,LEC06 ED2-COE
CHEM 280,Practical Chemistry II,LAB_SESSION,4,LEC244 ED2-CHE
CHE 356,Process Engineering Project II,LECTURE,4,LEC05 ED3-CHE
TE 498,Project I,LAB_SESSION,2,LEC17 ED4-TEL
TE 498,Project I,LAB_SESSION,2,LEC17 ED4-TEL
TE 484,Network Planning,LECTURE,2,LEC187 ED4-TEL
TE 474,Microwave Engineering,LECTURE,2,LEC197 ED4-TEL
TE 462,Telecommunication Policy,LECTURE,2,LEC195 ED4-TEL
TE 392,Telecommunication Lab IV,LAB_SESSION,2,LEC188 ED3-TEL
TE 386,Digital Communication Systems,LECTURE,2,LEC245 ED3-EE
TE 384,Switching Engineering In Communication,LECTURE,2,LEC245 ED3-EE
TE 384,Switching Engineering in Communication,LECTURE,2,LEC188 ED3-TEL
TE 382,Data Communication Networks,LECTURE,2,LEC193 ED3-TEL
TE 372,Antennas And Propagation,LECTURE,2,LEC245 ED3-EE
TE 372,Antennas and Propagation,LECTURE,2,LEC185 ED3-TEL
TE 364,Communication Circuits,LECTURE,2,LEC197 ED3-TEL
TE 362,Telecommunication Infrastructure,LECTURE,2,LEC188 ED3-TEL
TE 262,Electromagnetic Fields (TE),LECTURE,2,LEC196 ED2-TEL
TE 262,Electromagnetic Fields,LECTURE,2,LEC217 ED2-COE
SSN 166,Biochemistry,LECTURE,2,LEC205 ED1-BME
SOC 152,Introduction To Sociology,LECTURE,2,LEC204 ED1-BME
PHY 170,General Physics,LECTURE,2,LEC125 ED1-PCE
PHY 170,General Physics,LECTURE,2,LEC125 ED1-PETE
PHY 154,Properties Of Matter,LECTURE,2,LEC203 ED1-BME
PETE 465,Petroleum Law,LECTURE,2,LEC138 ED4-PETE
