ID,room_number,name,capacity,latitude,longitude,Monday,Tuesday,Wednesday,Thursday,Friday
ROOM0001,LT,Kwami Building_Gnd Floor_LT,120,6.6732761,-1.5655011,08:00 - 13:00,08:00 - 15:00,08:00 - 12:00,08:00 - 16:00,08:00 - 16:00
ROOM0230,ROOM A,Kwami Building_Gnd Floor_ROOM A,80,6.6732761,-1.565500833,08:00 - 16:00,08:00 - 17:00,08:00 - 16:00,08:00 - 17:00,08:00 - 16:00
ROOM0459,ROOM B,Kwami Building_Gnd Floor_ROOM B,80,6.6736601,-1.5651802,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,08:00 - 20:00,08:00 - 20:00
ROOM0688,206,Bamfo-Kwakye Building_1st Floor_206,100,6.6732761,-1.5655011,08:00 - 19:00,08:00 - 19:00,08:00 - 18:00,08:00 - 19:00,08:00 - 18:00
ROOM0917,303,Bamfo-Kwakye Building_2nd Floor_303,120,6.6732378,-1.56546888,08:00 - 16:00,08:00 - 12:00,08:00 - 12:00,08:00 - 14:00,08:00 - 15:00
ROOM1146,304,Bamfo-Kwakye Building_2nd Floor_304,100,6.67155855,-1.56622046,08:00 - 14:00,08:00 - 13:00,08:00 - 12:00,08:00 - 13:00,08:00 - 18:00
ROOM1375,A110,Ceaser Building_Gnd Floor_A110,120,6.67294227,-1.56647779,08:00 - 19:00,08:00 - 19:00,08:00 - 20:00,08:00 - 19:00,08:00 - 20:00
ROOM1604,PB001,Petroleum Building_Gnd Floor_PB001,150,6.67480313,-1.56536743,08:00 - 19:00,08:00 - 18:00,08:00 - 18:00,08:00 - 19:00,08:00 - 18:00
ROOM1833,PB020,Petroleum Building_Gnd Floor_PB020,150,6.67209679,-1.56400242,08:00 - 20:00,08:00 - 20:00,08:00 - 18:00,08:00 - 20:00,08:00 - 19:00
ROOM2062,PB014,Petroleum Building_Gnd Floor_PB014,200,6.67244677,-1.56824465,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,08:00 - 20:00,08:00 - 18:00
ROOM2291,PB012,Petroleum Building_Gnd Floor_PB012,100,6.67560403,-1.56695905,08:00 - 19:00,08:00 - 18:00,08:00 - 19:00,08:00 - 20:00,08:00 - 18:00
ROOM2520,PB008,Petroleum Building_Gnd Floor_PB008,120,6.67509006,-1.56561654,08:00 - 19:00,08:00 - 20:00,08:00 - 19:00,08:00 - 18:00,08:00 - 19:00
ROOM2749,PB201,Petroleum Building_3rd Floor_PB201,150,6.67312627,-1.56365625,08:00 - 16:00,08:00 - 12:00,08:00 - 16:00,08:00 - 15:00,08:00 - 13:00
ROOM2978,PB214,Petroleum Building_3rd Floor_PB214,200,6.67508028,-1.56763054,08:00 - 13:00,08:00 - 15:00,08:00 - 16:00,08:00 - 17:00,08:00 - 18:00
ROOM3207,PB212,Petroleum Building_3rd Floor_PB212,100,6.67445838,-1.56431857,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00
ROOM3436,PB208,Petroleum Building_3rd Floor_PB208,120,6.67534762,-1.56496354,08:00 - 19:00,08:00 - 20:00,08:00 - 18:00,08:00 - 20:00,08:00 - 19:00
ROOM3665,N1,N-Block_N1,100,6.6729753,-1.56518106,08:00 - 18:00,08:00 - 18:00,08:00 - 13:00,08:00 - 12:00,08:00 - 15:00
ROOM3894,N2,N-Block_N2,90,6.67247599,-1.5665613,08:00 - 12:00,08:00 - 16:00,08:00 - 12:00,08:00 - 17:00,08:00 - 12:00
ROOM4123,VCR,Ceaser Building_4th Floor_VCR,100,6.67447939,-1.56734875,08:00 - 18:00,08:00 - 19:00,08:00 - 18:00,08:00 - 18:00,08:00 - 19:00
ROOM4352,ECR,Ceaser Building_3rd Floor_ECR,100,6.67429009,-1.56721226,08:00 - 13:00,08:00 - 16:00,08:00 - 16:00,08:00 - 13:00,08:00 - 12:00
ROOM4581,ENG. AUDIT,Kumapley Auditorium_ENG. AUDIT,100,6.672328,-1.565163,08:00 - 20:00,08:00 - 20:00,08:00 - 19:00,08:00 - 18:00,08:00 - 19:00
ROOM4810,LEVINE HALL,Levine Building_1st Floor_Levine Hall,80,6.67461864,-1.56605776,08:00 - 12:00,08:00 - 15:00,08:00 - 16:00,08:00 - 18:00,08:00 - 13:00
ROOM5039,FOSSB4,Faculty of Social Science Basement,300,6.67353704,-1.56824658,08:00 - 19:00,08:00 - 18:00,08:00 - 20:00,08:00 - 19:00,08:00 - 18:00
ROOM5268,FOSSGF9,Faculty of Social Science Ground Floor,300,6.67280123,-1.56689177,08:00 - 12:00,08:00 - 13:00,08:00 - 12:00,08:00 - 17:00,08:00 - 14:00
ROOM5497,GF R1/FOSSB3,Faculty of Social Science Basement,200,6.67304931,-1.56575123,08:00 - 20:00,08:00 - 19:00,08:00 - 18:00,08:00 - 19:00,08:00 - 20:00
ROOM5726,GF R1/FOSSGF7,Faculty of Social Science Ground Floor,200,6.67374922,-1.56568378,08:00 - 20:00,08:00 - 20:00,08:00 - 18:00,08:00 - 20:00,08:00 - 19:00
ROOM5955,GF R1/FOSSGF8,Faculty of Social Science Ground Floor,300,6.6732918,-1.56410029,08:00 - 15:00,08:00 - 16:00,08:00 - 12:00,08:00 - 15:00,08:00 - 16:00
ROOM6184,BF T1/FOSSB6,Faculty of Social Science Basement,300,6.67562622,-1.56609303,08:00 - 14:00,08:00 - 13:00,08:00 - 17:00,08:00 - 16:00,08:00 - 18:00
ROOM6413,GF R1/FOSSGF18,Faculty of Social Science Ground Floor,200,6.67423821,-1.56649598,08:00 - 15:00,08:00 - 15:00,08:00 - 18:00,08:00 - 17:00,08:00 - 15:00
ROOM6642,FOSS NB GF T1,Faculty of Social Science New Block,200,6.67148143,-1.56654667,08:00 - 20:00,08:00 - 20:00,08:00 - 18:00,08:00 - 20:00,08:00 - 19:00
ROOM6871,FOSS NB FF R1,Faculty of Social Science New Block,200,6.67583847,-1.56475268,08:00 - 19:00,08:00 - 20:00,08:00 - 20:00,08:00 - 19:00,08:00 - 20:00
ROOM7100,AMC-TF1,Aboagye-Menya Complex (Science Block),200,6.67356321,-1.56750533,08:00 - 19:00,08:00 - 18:00,08:00 - 20:00,08:00 - 20:00,08:00 - 19:00
